X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
125.36173687061,6.74514325079184,"12628182317",node,12.5,pharmacy,pharmacy,A's Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,163084072,1,2025/03/01 11:21:05+00,96a53acbbdf84431b951c10b92570c01
120.927308933935,14.3982082597751,"12628509382",node,21.875,clinic,clinic,Vicente-Isabel Multispecialty Clinic and Diagnostic Center,,,,,,,,,,,,,,,,,,,,,Malagasang Road,"4103",Imus,163091691,1,2025/03/01 15:10:18+00,a51b1ec069c4408fbb1acf2710034c7e
120.925537251061,14.4049266904448,"12629514802",node,25,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,Malagasang Road,"1403",Imus,163108137,1,2025/03/02 02:52:59+00,584c6e21b5074277bdd5603110c317b2
120.97684078491,17.0864335539405,"2798720094",node,9.375,clinic,,Municipal Health Office,,,,,,,,,,,,,,,,,,,,,,,,163115432,3,2025/03/02 10:25:03+00,2e81b075d57f4827b56e2e9367a440b4
120.911846585693,13.88773979531,"1676499775",node,9.375,hospital,,Metro Lemery Medical Center,,,,,,,,,,,,,,,,,,,,,,,,48154509,2,2017/04/26 08:20:21+00,4336cd1dc520446f8ff2fe118d589337
121.034364445286,14.6048643339751,"7165856121",node,21.875,pharmacy,pharmacy,Mercury Drug,,,,,,07:00-22:00,,,,,,yes,,,,,,,,,Santolan Road,,,163139677,6,2025/03/02 21:58:31+00,c93ed8b59e5443aba1df746a93896d47
121.16171857919,13.9432992404957,"10656686764",node,21.875,pharmacy,pharmacy,Jude Pharmacy,,interpolation,,,,,,,,,,,,,,,,,,,P. Torres Street,,Lipa,163148580,7,2025/03/03 07:29:56+00,5fbcb0826309453b95b0a59cd9bb2941
121.160813417466,13.9408653872712,"12174189091",node,25,dentist,dentist,Pangilinan Dental Clinic,,,dentist,,,,,,,,,,,,,,,,,,C. M. Recto Avenue,"4217",Lipa,163150587,5,2025/03/03 08:38:20+00,8265592e3ed14a9fbe77be2fa2350574
120.795729147365,15.4483286286224,"12633151588",node,18.75,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,Santa Rosa-Tarlac Road,,,163157401,1,2025/03/03 11:37:09+00,c2cf254bc8924c46b4dfdd17a2639cf5
120.988970153174,14.6147994876258,"12634770172",node,18.75,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,Dimasalang Road,,,163183210,1,2025/03/04 01:47:21+00,b27d299a872e4b9cbde315569893e22d
123.904078143544,10.3190968261573,"10736018608",node,12.5,pharmacy,,Mercury Drug,,,,,,Mo-Su 07:30-22:00,,,,,,,,,,,,,,,,,,163183475,3,2025/03/04 02:09:59+00,3a9499be6d3a4469bea75f7db379df65
123.906921620377,10.3305175883264,"7273839445",node,18.75,pharmacy,pharmacy,Watsons,,,,,,"Fr,Sa 10:00-22:00; Su-Th 10:00-21:00",,,,,,,,,,,,,,,V. Padriga Street,,,163183475,3,2025/03/04 03:01:26+00,73f377469eea4dcfbe5f106c3be055b6
121.160388287337,13.940872763346,"12174188832",node,25,,laboratory,Our Lady Of Piat Laboratory,,,"general;paediatrics;blood_check",,,Mo-Sa 08:00-14:00,,,,,,,,,,,,,,,Kapitan Luz Street,"4217",Lipa,163186749,6,2025/03/04 05:44:35+00,d76f6dc686594beeb42929fcd91f6ea9
121.16031444277,13.9406819912298,"12174188844",node,25,pharmacy,pharmacy,BotiCARD Inc.,,,,,,,,,,,no,,,,,,,,,,C. M. Recto Avenue,"4217",Lipa,163186749,5,2025/03/04 05:44:35+00,784810c1525e4286b1ac383c8c4a60ea
124.603421145179,11.0232522974991,"10216103717",node,12.5,pharmacy,,PVTC Pharmacy,,,,,,,,,,,,,,,,,,,,,Merida-Ormoc Road,,,163189540,2,2025/03/04 07:44:27+00,6a62a75985b14bac8f58d23b454631a5
124.60350672441,11.0231790396654,"10216103617",node,12.5,pharmacy,,J&R Pharmacy,,,,,,,,,,,,,,,,,,,,,Merida-Ormoc Road,,,163189540,2,2025/03/04 07:44:27+00,154e7906680c4d8aab34a7e4ef9887d3
124.603300361954,11.0232717435145,"10888655305",node,12.5,doctors,,Peñaranda Diagnostic Laboratory,,,,,,"Su-Fr 09:00-17:00; Sa 09:00-12:00",,,,,,,,,,,,,,,,,,163189540,2,2025/03/04 07:44:27+00,d5d49cbfbd6f4d1793d5cb3aac5da7e5
121.604265297117,14.6622542191758,"10811138870",node,18.75,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,Famy - Real Road,,,163192801,2,2025/03/04 09:20:43+00,4ef256e894884d8c83bb81d10410ed88
121.162008173944,13.9429828236509,"12635348915",node,21.875,clinic,clinic,Bautista EENT Clinic,Nestor O. Bautista M.D.,,otolaryngology,private,,,,,,,,,,,,,,,,,,,,163195075,2,2025/03/04 10:24:32+00,ae01f14cfbd0496abfc910576b7093d1
124.473246333219,10.0450869631781,"12617075862",node,9.375,clinic,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,163199272,2,2025/03/04 12:20:43+00,42de735a81bb4a23bbc7a84e9d3e70e6
121.084663072763,14.6120752852753,"12637915097",node,15.625,doctors,,"Aurapasco, M. D.",,,paediatrics,,,,,,,,,,,,,,,,,,Evangelista Avenue,,,163228320,1,2025/03/05 05:14:40+00,8d458a9d20b743eb881323e2fa809466
120.939165219793,14.4064982972898,"2008421606",node,25,pharmacy,pharmacy,Our Lady of Manaoag Drugstore,,,,,,,,,,,no,,,,,,,,,,Patindig Araw Road,"4103",Imus,163230160,8,2025/03/05 06:42:21+00,5b32b3440cf2440da015834987a3b32b
121.101857625115,14.6376101665602,"12638027993",node,12.5,clinic,,RVEC Clinics & Surgicenter,,,,,,,,,,,,,,,,,,,,,Mayor Gil Fernando Avenue,,,163231768,1,2025/03/05 07:33:53+00,cab98ae59d10400ab4158f9421c4b3e8
121.101686047557,14.6371488266095,"12638027991",node,18.75,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,Mayor Gil Fernando Avenue,,,163231768,1,2025/03/05 07:33:53+00,d86527e8511a479fa7e164887a63c295
121.101873047816,14.6375679217682,"12638027994",node,9.375,pharmacy,,,,,,,,,,,,,,,,,,,,,,,Mayor Gil Fernando Avenue,,,163231768,1,2025/03/05 07:33:53+00,76d11950a33f4cde8207785e0c34242f
121.101786546576,14.6373862859265,"12638027995",node,12.5,,laboratory,Premiere,,,,,,,,,,,,,,,,,,,,,Mayor Gil Fernando Avenue,,,163231768,1,2025/03/05 07:33:53+00,5aeb17082efb499899c1c29d1a3986ec
,,"399035546",way,9.375,hospital,,Living Hope Hospital,,,,,,,,,,,,,,,,,,,,,,,,82623002,2,2020/03/25 18:08:15+00,972bdec920a2411da83a4473a57f5595
123.297857918529,9.3232417366456,"12638164347",node,18.75,dentist,dentist,Teves Salutan iCare Dental Clinic,,,,,,Mo-Su 09:00-21:00,,,,,,yes,,,,,,,,,,,,163266631,4,2025/03/06 01:18:36+00,dd6f7746ea4247fca994d8e9dd4c6896
121.127928780564,14.6394948374888,"12639864190",node,12.5,pharmacy,,Kenclare,,,,,,,,,,,,,,,,,,,,,Panorama Street,,,163268307,1,2025/03/06 03:33:07+00,faa3bcb9e8c14443b6de76a49d89ddbb
121.140352772724,14.7523526374924,"12640024811",node,9.375,,doctor,Abalos Medical Clinic,,,,,,,,,,,,,,,,,,,,,,,,163269768,1,2025/03/06 05:18:43+00,002022201547486b8c0dd2577e577302
121.166706230673,13.9428607831407,"12177388277",node,12.5,pharmacy,pharmacy,Jimria Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,163271478,7,2025/03/06 06:40:53+00,da84106a382c479e843c33d61f71261e
121.165244845855,13.9423186416434,"12537096922",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,163271478,4,2025/03/06 06:40:53+00,d82e85a84e2243bfb50dc6ae72121915
123.936419381663,10.3325309214686,"355114487",node,18.75,pharmacy,pharmacy,Rose Pharmacy,,,,,,24/7,,,,,,,,,,,,,,,M.C. Briones Street,,,127213716,8,2022/10/08 17:21:22+00,f685624a419c4efa97cc48b91c11e88c
121.163990158769,13.9399068328243,"12640463598",node,18.75,doctors,doctor,Deeneye,Dr. Deeneye Santiago-Iglesias,,dermatology,,,,,,,,,,,,,,,,,,,,,163278540,1,2025/03/06 10:05:17+00,684bce8976344721af1bf32c285e8552
121.161800721841,13.9430820653845,"10656686767",node,21.875,pharmacy,pharmacy,Billy Pharmacy,,interpolation,,,,,,,,,,,,,,,,,,,P. Torres Street,,Lipa,163290989,7,2025/03/06 15:52:21+00,783a21d22a6042048a84186f5ea1bf21
122.575015580795,10.7574683504753,"6807006885",node,15.625,clinic,,St. Peregrine Center for Health,,,,,,,,,,,,,,,,,,,,,MacArthur Drive,"5000",,163310157,2,2025/03/07 05:14:53+00,9651de7180b34599bc88a9328a53aeca
121.124819094487,14.6518564682891,"12642715157",node,21.875,pharmacy,pharmacy,TGP,,,,,,,,,,,yes,,,,,,,,,,Champaca Street,,Marikina,163316420,1,2025/03/07 08:32:18+00,0d9c7042593b4e60bf3e4067dc4655de
118.733373187091,9.74256337434508,"12644581615",node,12.5,dentist,,,Kalaw-Suarilla,,,,,,,,,,,,,,,,,,,,Malvar Street,,,163349424,1,2025/03/08 02:55:36+00,ab667043d31c4cb0944a9193da6f6e0e
125.212031721341,6.78708403115826,"12645248201",node,9.375,pharmacy,,MD Drug,,,,,,,,,,,,,,,,,,,,,,,,163360488,1,2025/03/08 11:51:26+00,b4dc82d8c3ee4d3fbe15c1d7c6efd670
120.591202830942,15.1615173363833,"9175025330",node,9.375,dentist,,EMC Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,163364740,2,2025/03/08 13:40:16+00,b2a9b1738d204551889115bb24ead940
121.061197599553,16.9119525885384,"10705570407",node,9.375,pharmacy,,Mega Generics Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,163366840,2,2025/03/08 14:37:52+00,6eda00db0bd04bd9b3b2e7843950f2d6
120.940104998777,14.4048314720247,"8722367737",node,18.75,clinic,dialysis,Nephrology Center of Cavite City Dialysis Center,,,,,,,,,,,,,,,,,,,,,Aguinaldo Highway,,Imus,163368209,6,2025/03/08 15:14:23+00,2e486247fe224ca7aa14d1b7d3422ac7
121.06166966834,13.7907644445347,"12646077643",node,21.875,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,,"4200",Batangas City,163379503,1,2025/03/08 21:03:36+00,e387e36c59c74b5fb1eba19e92c1432c
123.311828036548,9.32266154130792,"12612213990",node,18.75,pharmacy,pharmacy,Watson's,,,,,,Mo-Su 10:00-21:00,,,,,,yes,,,,,,,,,,,,163385930,3,2025/03/09 04:00:53+00,0b18effe0ced42968672a1b9c95d8ec3
121.162538077863,13.9411061993494,"2558046108",node,31.25,pharmacy,pharmacy,Mercury Drug,,mercury website,,,,,,,,,yes,,,,,,,,,,C. M. Recto Avenue,"4217",Lipa,163386848,7,2025/03/09 05:12:24+00,e28e8404fd0c4d919e7fedf04c4529b6
121.162992628472,13.9416095326349,"12294398129",node,9.375,dentist,dentist,,,,,,,,,,,,,,,,,,,,,,,,,163386848,6,2025/03/09 05:12:24+00,52f3e3cce4d7475a9e264602d0fbe42f
121.162108924421,13.9426455358672,"12641054858",node,18.75,dentist,dentist,Dra. Susan Dental Clinic,Dra. Susan. Lingao,,orthodontics,,,,,,,,,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,3f8a8f1848fa4304b15a22ba1eb15809
121.161964252772,13.9425851861643,"12641054875",node,12.5,pharmacy,pharmacy,Winbel Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,4bf3fae3f8984f06b292b541cf304e1d
121.162133651035,13.9426536663133,"12641054853",node,9.375,,optometrist,Manguiat Optical,,,,,,,,,,,,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,7f5ae1c82a2244569c835f9a23284e1a
121.161895353528,13.9427732760716,"12641077106",node,15.625,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,e4999122b62142b89bdf7a0ccd5b9e66
121.16190298106,13.9401249299449,"12294398130",node,12.5,dentist,dentist,FOI Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,bea94b4f801f4a53b5700b255999845d
121.163582798275,13.9417213472233,"12640374227",node,21.875,dentist,dentist,DocDana Dental Clinic,,,,,,,,,,,,,,,,,,,,,C. M. Recto Avenue,"4217",Lipa,163389806,2,2025/03/09 08:11:21+00,b8f25e38bf1b40e4bd8c6d4dd4649fa6
121.162166424276,13.9426349746692,"12641054857",node,9.375,,optometrist,Ey-Mer,,,,,,,,,,,,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,720da9dc83c84b9b8c6c2bb211f9c2a5
121.162044299947,13.9424352339166,"12641054871",node,15.625,dentist,dentist,Caraan Dental Clinic,"Dra. Yolly Manalo Caraan;Dr. John Paul Manalo Caraan",,,,,,,,,,,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,974eca983ca44fc09455007f53bfeadb
121.16222233157,13.9408985796078,"3451925207",node,21.875,dentist,dentist,Villalobos Dental Clinic,,,,,,,,,,,,,,,,,,,,,C. M. Recto Avenue,"4217",Lipa,163389806,9,2025/03/09 08:11:21+00,2f397b2491584afb9a8d17007ace48d1
121.16176006961,13.9426618805784,"12641054873",node,12.5,pharmacy,pharmacy,NeoCare Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,163389806,2,2025/03/09 08:11:21+00,cc2aa311aca243cc9d14b0d5a11e1caa
120.940234499181,14.4061830539114,"12647164578",node,18.75,clinic,clinic,Maxicare Primary Care Clinic,,,,,,,,,,,,,,,,,,,,,Aguinaldo Highway,,Imus,163391821,1,2025/03/09 09:18:49+00,cc624dc7c20445c38fc79745badad299
120.337298052372,16.6698203606135,"8939333288",node,12.5,pharmacy,pharmacy,Generika Drugstore,,,,,,,,,,,,,,,,,,,,,,,,163411438,3,2025/03/09 17:51:52+00,c19129d203e14c34ba2b8eb702872292
121.053748099289,14.5146153766775,"12649419751",node,12.5,clinic,clinic,Franco Clinic,,,,,,,,,,,,,,,,,,,,,,,,163431781,1,2025/03/10 08:52:32+00,f1a52ad926b94ae48d291079d160c4dd
120.350570963685,16.7241611608967,"12649476441",node,12.5,pharmacy,pharmacy,MHB Botica,,,,,,,,,,,,,,,,,,,,,,,,163433186,1,2025/03/10 09:26:29+00,e712f537853043d58f946cfb804a8e63
120.35232437401,16.7263762464484,"12244699408",node,12.5,doctors,doctor,Arellano-Bejasa Medical Clinic,,,,,,,,,,,,,,,,,,,,,,,,163433186,2,2025/03/10 09:26:35+00,5c0e2bbdd4434305a67fbcb860fbc90f
120.574801541907,16.0487047392878,"12649804476",node,12.5,clinic,clinic,Monlace Medical Clinic,,,,,,,,,,,,,,,,,,,,,,,,163440439,1,2025/03/10 12:32:41+00,7a5ed09eedeb41adbc9fe8cf0c132fb3
121.162363734277,13.941036629553,"12646955863",node,21.875,dentist,dentist,Dental Clinic,,,,,,,,,,,,,,,,,,,,,C. M. Recto Avenue,"4217",Lipa,163456428,3,2025/03/10 19:11:12+00,0518c32f8eb84b5a8a33b2b8e98a30ee
121.162017896952,13.9408861743911,"12175501279",node,18.75,,laboratory,Megalab Diagnostic Center,,,,,,,,,,,,,,,,,,,,,C. M. Recto Avenue,"4217",Lipa,163456428,6,2025/03/10 19:11:12+00,d7e7385955674d8080556d0950bdb45e
,,"399807180",way,21.875,hospital,hospital,Health Center,,,"clinical_pathology;vaccination",,,,,,,,,,,,,,,,,,Katambisan,"6604",,152824892,2,2024/06/18 01:28:01+00,cd2df5a1b53b445c9e4474a948270498
,,"399861854",way,18.75,clinic,,Saint Odile Surgicenter,,,,,,,,,,,,,,,,,,,,,Marcelo H. del Pilar Avenue,"4001",Alaminos,79182227,2,2020/01/04 07:36:51+00,53593f46144944c4910d1cba319d82a7
121.179879145882,16.5167225522164,"4951866222",node,15.625,pharmacy,pharmacy,Megatrade,,,,,,,,,,,,,,,,,,,,,Aquino Avenue,,,163535241,4,2025/03/12 16:18:33+00,0aa2889cd0124d1c90c7d6cf886689f2
121.179839667118,16.5176858843481,"9760847217",node,18.75,pharmacy,pharmacy,Mercury Drug,,,,,,,,,,,yes,,,,,,,,,,Aquino Avenue,,,163535241,4,2025/03/12 16:18:33+00,09aed6e638514783a5c573e2020d6d45
121.143467320306,16.4836376716479,"4795376422",node,15.625,dentist,dentist,Love My Teeth Dental Clinic,,,,,,,,,,,,,,,,,,,,,Zamora Street Extension,,,163539127,5,2025/03/12 17:40:19+00,6258fd3036484038b20f7e1504b717f4
121.162250997679,13.957063498973,"12659499127",node,12.5,hospital,hospital,Ospital ng Lipa,,,,,,,,,,,,,,,,,,,,,,,,163573389,1,2025/03/13 14:35:45+00,38fc3514ba794336ad225dbc8d3dacbc
121.166452594283,13.9683934851307,"12659499128",node,12.5,hospital,hospital,Metro Lipa Medical Center,,,,,,,,,,,,,,,,,,,,,,,,163573389,1,2025/03/13 14:35:45+00,c2ea54c3cbca4e79bec4740f340ca1c4
121.157160164968,13.9477624362975,"12659499125",node,12.5,hospital,hospital,Lipa Medix Medical Center,,,,,,,,,,,,,,,,,,,,,,,,163573389,1,2025/03/13 14:35:45+00,18786ff1806643b8b566a6a4e1bbbe6d
121.165693864408,13.9386770399907,"12659499126",node,12.5,hospital,hospital,N. L. Villa Memorial Medical Center,,,,,,,,,,,,,,,,,,,,,,,,163573389,1,2025/03/13 14:35:45+00,7ec9e98a21314c6fb4a9a73a8c709d05
120.597423376563,16.4133175273357,"7039940686",node,31.25,,laboratory,Assumption Medical Diagnostic Center,,,,private,,Mo-Su 6:00-18:00,,,,,,,,,,,,,,"10",Assumption Road,"2600",Baguio,163582095,10,2025/03/13 18:06:22+00,34549905db514b9e88e194bb38e2b550
120.59675533888,16.4136952997117,"7079310086",node,25,,laboratory,Baguio Doctors' Medical Laboratory,,,,private,,,,,,,,,,,,,,,,,Mabini Street,"2600",Baguio,163582095,8,2025/03/13 18:06:22+00,52419f65244341ad920e15098dc19fb2
